file,uuid,title,artist,date,w,h,tags,status
mantichora__c2f19a26.jpg,c2f19a26-8ea9-4bd2-b20a-90f64320d436,Mantichora,Edward Topsell,1658,598,354,stars,have
alfred-tennyson__1190c929.jpg,1190c929-9703-4026-981b-157b778aac14,Alfred Tennyson,Frederick Watty,1873,518,731,stars,have
jolly-hallowe-en__9e4f004b.jpg,9e4f004b-48ff-4159-bdcd-9b9d7d423e75,Jolly Hallowe'en,,ca. 1910,760,488,"moon,stars",have
halloween-night__c928f9ab.jpg,c928f9ab-d9d3-4102-a1c4-54623981961b,Halloween Night,,ca. 1913,1920,1219,stars,have
diagram-of-the-macrocosm__af5782b0.jpg,af5782b0-81b5-47c3-b714-e68efab9a5a9,Diagram of the Macrocosm,Robert Fludd,1617,1200,1229,stars,have
front-cover__32a2e69d.jpg,32a2e69d-572b-40c3-863a-bf580f9f1cf9,Front cover,Virginia Frances Sterrett,1920,620,904,stars,have
rosalie-saw-before-her-eyes-a-tree-of-marvellous-beauty__8117fce7.jpg,8117fce7-b4a0-4202-b3ca-10a34e9a522b,Rosalie saw before her eyes a tree of marvellous beauty,Virginia Frances Sterrett,1920,620,824,stars,have
violette-consented-willingly-to-pass-the-night-in-the-forest__f330d9e3.jpg,f330d9e3-7bc7-4808-b3f8-7b30b73f7650,Violette consented willingly to pass the night in the forest,Virginia Frances Sterrett,1920,620,816,stars,have
path-of-the-balloon-over-london-at-night-2nd-october-1865__409f4bd2.jpg,409f4bd2-f020-46d1-a755-01c3f79bc6c4,Path of the balloon over London (at night). 2nd October 1865.,"Vincent Brooks, Day & Son",1871,2980,1978,"moon,sky",have
after-a-time-the-moon-shone-with-increased-brightness__eac61c88.jpg,eac61c88-c165-4a3f-a04e-8af891855020,After a time the moon shone with increased brightness.,Sargent,1871,1110,1149,"moon,sky",have
a-moonlight-effect-as-seen-from-the-balloon-by-m-flammarion__eb693f2c.jpg,eb693f2c-1da6-4bcb-9c65-338ccee5f0c0,A moonlight effect as seen from the balloon by M. Flammarion.,Sargent; Eugène Cicéri,1871,2457,1602,"moon,sky",have
lunar-halo-observed-by-m-flammarion-night-of-14-15-july-1867__7961df7c.jpg,7961df7c-fc9a-4114-862a-df448369abb0,"Lunar halo observed by M. Flammarion. (Night of 14–15 July, 1867.)",Sargent; Eugène Cicéri,1871,2598,1825,"moon,sky",have
the-moon-shines-forth-with-peculiar-brilliancy__27879ca1.jpg,27879ca1-3482-4354-8e81-5b451903cac5,The Moon shines forth with peculiar brilliancy.,,1871,2610,1837,"moon,sky",have
sun-and-moon__d9634348.jpg,d9634348-31f6-41a2-87f2-e9b934f56476,Sun and Moon,,1600,4076,2712,"moon,sun",have
the-sun-and-the-moon__7e48bb8d.jpg,7e48bb8d-79c5-445f-a6c0-d06b07a4357d,The Sun and the Moon,Paul Nash,1924,2894,3681,"moon,sun",have
eclipses-and-phases-of-the-moon__47a22285.jpg,47a22285-84a7-4756-8d60-41dc93ef334e,Eclipses and Phases of the Moon,,1878,1252,2372,moon,have
monument-of-skulls__dc3f9ecf.jpeg,dc3f9ecf-54a3-4e10-a891-0760d6414e8d,Monument of Skulls,Paul Krafft,1907,2202,3354,moon,have
the-feint-with-the-moon-a-fable-from-hitopadesa__c67da513.jpg,c67da513-9e14-4729-ad3f-48a30fb0b9ab,"“The Feint with the Moon”, a fable from Hitopadesa.",Tom Seidmann-Freud,1924,1774,1420,moon,have
will-dixon-malinda-come-down-to-me__77d5b0e5.jpg,77d5b0e5-3f83-4a4e-b491-65ea7ff74ecd,"Will Dixon, “Malinda; Come Down to Me”",,1905,1585,2035,moon,have
alex-rogers-and-james-vaughan-when-the-moon-shines__ff6048bd.jpg,ff6048bd-bd6c-4236-9dd8-dabaaa81211f,"Alex Rogers and James Vaughan, “When the Moon Shines”",,1904,1585,2016,moon,have
untitled__1b4a087f.jpg,1b4a087f-6e69-4083-8a25-afc789f459d9,,,ca. 1880,3500,3839,"moon,sun",have
phases-of-the-moon-from-smith-s-illustrated-astronomy__d19b7050.jpg,d19b7050-404a-491d-b551-07e5ae66c7e9,Phases of the Moon from *Smith's Illustrated Astronomy*,Asa Smith,1849,1005,1200,moon,have
avarice__6b3862b4.jpg,6b3862b4-a89a-4a6a-9cc4-291c67441900,Avarice,James Ensor,ca. 1904,1500,1029,moon,have
i-want-i-want__b19abe8c.jpg,b19abe8c-1837-42c1-9c50-870dc2a8a54e,I Want! I Want!,William Blake,1793,1728,2471,moon,have
a-pumpkin-used-as-a-fishing-boat__1de63329.jpg,1de63329-8e80-495d-9589-0d66c3d4afb9,A Pumpkin used as a Fishing-boat.,Filippo Morghen,1776,1903,1419,moon,have
a-boat-that-has-for-sails-the-wings-of-a-huge-bird__2ced97c7.jpg,2ced97c7-4cfd-47c7-85a3-aa03d14124dc,A Boat that has for sails the wings of a huge Bird.,Filippo Morghen,1776,1900,1407,moon,have
a-house-on-water-and-a-new-way-to-summon-geese-by-the-beat-o__5b147ab6.jpg,5b147ab6-6a07-4595-8acd-01f0120cfa67,"A house on water, and a new way to summon Geese by the Beat of a Drum.",Filippo Morghen,1776,1884,1403,moon,have
title-plate-from-suite-of-the-most-notable-things-seen-by-ca__7b74c8b5.jpg,7b74c8b5-f6d3-48b4-b12d-c9cbef50c1f7,Title plate from Suite of the most notable things seen by Cavaliere Wild Scull and Signore de la Hire on their famous voyage from the Earth to the Moon…,Filippo Morghen,1776,1848,1385,moon,have
the-manner-of-transporting-wares-on-barges-drawn-by-a-bellow__833f13c1.jpg,833f13c1-9e65-4577-aa25-77bf7291199f,The Manner of transporting wares on Barges drawn by a Bellows.,Filippo Morghen,1776,1888,1401,moon,have
pumpkins-used-as-dwellings-to-be-secure-against-wild-beasts__c81e576a.jpg,c81e576a-9cba-43b1-90cf-836d27e06730,Pumpkins used as dwellings to be secure against wild beasts.,Filippo Morghen,1776,1889,1409,moon,have
