name,file,sheet,px_w,px_h,source,old_file
Ruellia simplex,ruellia-simplex-08-01.png,ruellia-simplex-08,468,494,ruellia-simplex-etjshx,ruellia-simplex-etjshx-01.png
Ruellia simplex,ruellia-simplex-11-01.png,ruellia-simplex-11,234,318,ruellia-simplex-lhs4ya,ruellia-simplex-lhs4ya-01.png
Ruellia simplex,ruellia-simplex-11-02.png,ruellia-simplex-11,234,344,ruellia-simplex-lhs4ya,ruellia-simplex-lhs4ya-02.png
Ruellia simplex,ruellia-simplex-11-03.png,ruellia-simplex-11,115,129,ruellia-simplex-lhs4ya,ruellia-simplex-lhs4ya-03.png
Ruellia simplex,ruellia-simplex-11-04.png,ruellia-simplex-11,286,167,ruellia-simplex-lhs4ya,ruellia-simplex-lhs4ya-04.png
Ruellia simplex,ruellia-simplex-11-05.png,ruellia-simplex-11,177,152,ruellia-simplex-lhs4ya,ruellia-simplex-lhs4ya-05.png
Ruellia simplex,ruellia-simplex-14-01.png,ruellia-simplex-14,479,494,ruellia-simplex-skwts9,ruellia-simplex-skwts9-01.png
Ruellia simplex,ruellia-simplex-13-01.png,ruellia-simplex-13,296,491,ruellia-simplex-re38vk,ruellia-simplex-re38vk-01.png
Ruellia simplex,ruellia-simplex-13-02.png,ruellia-simplex-13,207,364,ruellia-simplex-re38vk,ruellia-simplex-re38vk-02.png
Ruellia simplex,ruellia-simplex-13-03.png,ruellia-simplex-13,271,171,ruellia-simplex-re38vk,ruellia-simplex-re38vk-03.png
Dahlia,dahlia-03-01.png,dahlia-03,52,229,dahlia-ctzw9u,dahlia-ctzw9u-01.png
Dahlia,dahlia-03-02.png,dahlia-03,82,83,dahlia-ctzw9u,dahlia-ctzw9u-02.png
Dahlia,dahlia-03-03.png,dahlia-03,80,76,dahlia-ctzw9u,dahlia-ctzw9u-03.png
Dahlia,dahlia-03-04.png,dahlia-03,91,91,dahlia-ctzw9u,dahlia-ctzw9u-04.png
Dahlia,dahlia-03-05.png,dahlia-03,69,74,dahlia-ctzw9u,dahlia-ctzw9u-05.png
Dahlia,dahlia-03-06.png,dahlia-03,48,93,dahlia-ctzw9u,dahlia-ctzw9u-06.png
Dahlia,dahlia-03-07.png,dahlia-03,55,87,dahlia-ctzw9u,dahlia-ctzw9u-07.png
Dahlia,dahlia-03-08.png,dahlia-03,52,86,dahlia-ctzw9u,dahlia-ctzw9u-08.png
Dahlia,dahlia-03-09.png,dahlia-03,39,84,dahlia-ctzw9u,dahlia-ctzw9u-09.png
Dahlia,dahlia-03-10.png,dahlia-03,55,82,dahlia-ctzw9u,dahlia-ctzw9u-10.png
Dahlia,dahlia-03-11.png,dahlia-03,47,73,dahlia-ctzw9u,dahlia-ctzw9u-11.png
Dahlia,dahlia-03-12.png,dahlia-03,44,94,dahlia-ctzw9u,dahlia-ctzw9u-12.png
Dahlia,dahlia-03-13.png,dahlia-03,61,88,dahlia-ctzw9u,dahlia-ctzw9u-13.png
Dahlia,dahlia-03-14.png,dahlia-03,45,86,dahlia-ctzw9u,dahlia-ctzw9u-14.png
Dahlia,dahlia-03-15.png,dahlia-03,50,84,dahlia-ctzw9u,dahlia-ctzw9u-15.png
Dahlia,dahlia-03-16.png,dahlia-03,45,82,dahlia-ctzw9u,dahlia-ctzw9u-16.png
Dahlia,dahlia-03-17.png,dahlia-03,46,77,dahlia-ctzw9u,dahlia-ctzw9u-17.png
Dahlia,dahlia-03-18.png,dahlia-03,76,224,dahlia-ctzw9u,dahlia-ctzw9u-18.png
Dahlia,dahlia-03-19.png,dahlia-03,54,92,dahlia-ctzw9u,dahlia-ctzw9u-19.png
Dahlia,dahlia-03-20.png,dahlia-03,51,94,dahlia-ctzw9u,dahlia-ctzw9u-20.png
Dahlia,dahlia-03-21.png,dahlia-03,57,95,dahlia-ctzw9u,dahlia-ctzw9u-21.png
Dahlia,dahlia-03-22.png,dahlia-03,58,89,dahlia-ctzw9u,dahlia-ctzw9u-22.png
Dahlia,dahlia-03-23.png,dahlia-03,49,88,dahlia-ctzw9u,dahlia-ctzw9u-23.png
Dahlia,dahlia-03-24.png,dahlia-03,34,78,dahlia-ctzw9u,dahlia-ctzw9u-24.png
Dahlia,dahlia-03-25.png,dahlia-03,75,40,dahlia-ctzw9u,dahlia-ctzw9u-25.png
Dahlia,dahlia-03-26.png,dahlia-03,67,40,dahlia-ctzw9u,dahlia-ctzw9u-26.png
